frequency_mhz,symbol_rate_msps,power_dbm,noise_hex,noise_dec,locked,esno_db
950,1,-30,0X1C0B0,114864,True,17.25
950,1,-30,0X1C0B8,114872,True,16.87
950,1,-30,0X1C0C0,114880,True,16.51
950,1,-30,0X1C0C8,114888,True,16.14
950,1,-30,0X1C0D0,114896,True,15.79
950,1,-30,0X1C0D8,114904,True,15.47
950,1,-30,0X1C0E0,114912,True,15.16
950,1,-30,0X1C0E8,114920,True,14.88
950,1,-30,0X1C0F0,114928,True,14.55
950,1,-30,0X1C0F8,114936,True,14.23
950,1,-30,0X1C100,114944,True,13.99
950,1,-30,0X1C108,114952,True,13.7
950,1,-30,0X1C110,114960,True,13.47
950,1,-30,0X1C118,114968,True,13.19
950,1,-30,0X1C120,114976,True,12.93
950,1,-30,0X1C128,114984,True,12.64
950,1,-30,0X1C130,114992,True,12.44
950,1,-30,0X1C138,115000,True,12.2
950,1,-30,0X1C140,115008,True,11.97
950,1,-30,0X1C148,115016,True,11.75
950,1,-30,0X1C150,115024,True,11.53
950,1,-30,0X1C158,115032,True,11.3
950,1,-30,0X1C160,115040,True,11.14
950,1,-30,0X1C168,115048,True,10.89
950,1,-30,0X1C170,115056,True,10.72
950,1,-30,0X1C178,115064,True,10.54
950,1,-30,0X1C180,115072,True,10.33
950,1,-30,0X1C188,115080,True,10.11
950,1,-30,0X1C190,115088,True,9.87
950,1,-30,0X1C198,115096,True,9.71
950,1,-30,0X1C1A0,115104,True,9.54
950,1,-30,0X1C1A8,115112,True,9.36
950,1,-30,0X1C1B0,115120,True,9.21
950,1,-30,0X1C1B8,115128,True,8.96
950,1,-30,0X1C1C0,115136,True,8.82
950,1,-30,0X1C1C8,115144,True,8.67
950,1,-30,0X1C1D0,115152,True,8.5
950,1,-30,0X1C1D8,115160,True,8.34
950,1,-30,0X1C1E0,115168,True,8.2
950,1,-30,0X1C1E8,115176,True,8.05
950,1,-30,0X1C1F0,115184,True,7.88
950,1,-30,0X1C1F8,115192,True,7.72
950,1,-30,0X1C200,115200,True,7.56
950,1,-30,0X1C208,115208,True,7.44
950,1,-30,0X1C210,115216,True,7.29
950,1,-30,0X1C218,115224,True,7.14
950,1,-30,0X1C220,115232,True,6.96
950,1,-30,0X1C228,115240,True,6.85
950,1,-30,0X1C230,115248,True,6.75
950,1,-30,0X1C238,115256,True,6.63
950,1,-30,0X1C240,115264,True,6.43
950,1,-30,0X1C248,115272,True,6.28
950,1,-30,0X1C250,115280,True,6.23
950,1,-30,0X1C258,115288,True,6.1
950,1,-30,0X1C260,115296,True,5.99
950,1,-30,0X1C268,115304,True,5.82
950,1,-30,0X1C270,115312,True,5.69
950,1,-30,0X1C278,115320,True,5.6
950,1,-30,0X1C280,115328,True,5.46
950,1,-30,0X1C288,115336,True,5.36
950,1,-30,0X1C290,115344,True,5.2
950,1,-30,0X1C298,115352,True,5.07
950,1,-30,0X1C2A0,115360,True,4.98
950,1,-30,0X1C2A8,115368,True,4.86
950,1,-30,0X1C2B0,115376,True,4.79
950,1,-30,0X1C2B8,115384,True,4.64
950,1,-30,0X1C2C0,115392,True,4.5
950,1,-30,0X1C2C8,115400,True,4.45
950,1,-30,0X1C2D0,115408,True,4.37
950,1,-30,0X1C2D8,115416,True,4.22
950,1,-30,0X1C2E0,115424,True,4.19
950,1,-30,0X1C2E8,115432,True,4.05
950,1,-30,0X1C2F0,115440,True,3.95
950,1,-30,0X1C2F8,115448,True,3.86
950,1,-30,0X1C300,115456,True,3.73
950,1,-30,0X1C308,115464,True,3.64
950,1,-30,0X1C310,115472,True,3.5
950,1,-30,0X1C318,115480,True,3.44
950,1,-30,0X1C320,115488,True,3.32
950,1,-30,0X1C328,115496,True,3.24
950,1,-30,0X1C330,115504,True,3.15
950,1,-30,0X1C338,115512,True,3.07
950,1,-30,0X1C340,115520,True,3.01
950,1,-30,0X1C348,115528,True,2.89
950,1,-30,0X1C350,115536,True,2.81
950,1,-30,0X1C358,115544,True,2.74
950,1,-30,0X1C360,115552,True,2.61
950,1,-30,0X1C368,115560,True,2.56
950,1,-30,0X1C370,115568,True,2.43
950,1,-30,0X1C378,115576,True,2.38
950,1,-30,0X1C380,115584,True,2.24
950,1,-30,0X1C388,115592,True,2.18
950,1,-30,0X1C390,115600,True,2.1
950,1,-30,0X1C398,115608,True,2.04
